type;animal.id;order;stimulus.type;stimulus.direction;stimulus.name;date;batch;used.before;animal.diameter;no.arms;regen.arms;initial.heading;start.frame;final.heading;stop.frame;touch;Notes
Black circle on white;0;1;100;3;remove;2015-05-19;Week 19;no;31,2;15;;131,9;NA;17,8;NA;;
Black circle on white;0;2;80;1;remove;;;;;;;13,1;7;12,9;23;;
Black circle on white;0;3;60;5;37°;;;;;;;1,2;51;-2,3;66;;
Black circle on white;0;4;40;4;27°;;;;;;;-24,5;31;-14,2;44;;
Black circle on white;0;5;20;3;14°;;;;;;;35,4;116;13,8;134;;
Black circle on white;0;6;10;2;7°;;;;;;;-54,2;24;-33,1;42;;
Black circle on white;0;7;control;1;control;;;;;;;NA;NA;NA;NA;;Animal did not respond
Black circle on white;1;1;40;1;27°;2015-05-25;Week 21;no;21,6;15;;-78,5;14;-49,4;38;;
Black circle on white;1;2;20;4;14°;;;;;;;20,6;6;10,9;22;;
Black circle on white;1;3;60;5;37°;;;;;;;75,8;16;1,6;40;;
Black circle on white;1;4;control;3;control;;;;;;;-89,6;13;-93,6;35;;
Black circle on white;1;5;10;2;7°;;;;;;;135,8;10;153,1;32;;
Black circle on white;1;6;5;3;4°;;;;;;;13,6;10;38,3;33;;
Black circle on white;2;1;10;4;7°;2015-05-25;Week 21;no;19,1;16;;-165,9;19;-133,0;72;;
Black circle on white;2;2;60;1;37°;;;;;;;20,8;25;1,0;57;;
Black circle on white;2;3;40;5;27°;;;;;;;-14,1;54;-4,9;90;;Animal did not respond at first trial. Sequence in folder: “2015-05-25 15:37:19”
Black circle on white;2;4;control;2;control;;;;;;;168,5;17;146,1;61;;
Black circle on white;2;5;5;1;4°;;;;;;;4,0;47;48,7;105;;
Black circle on white;2;6;20;3;14°;;;;;;;-18,7;52;-129,8;140;;Animal was non-responsive first. Two part recording. Right sequence in folder: “2015-05-25 16:15:09”
Black circle on white;3;1;20;4;14°;2015-05-26;Week 21;no;30,9;16;;-21,9;14;-8,9;25;;Accidentally took two animals. Sequence is in folder “2015-05-26 13:40:03”
Black circle on white;3;2;10;2;7°;;;;;;;-97,1;1;-72,9;13;;
Black circle on white;3;3;5;5;4°;;;;;;;163,5;9;144,9;23;;
Black circle on white;3;4;control;3;control;;;;;;;-115,0;10;-108,1;24;;
Black circle on white;3;5;60;5;37°;;;;;;;-9,8;12;-10,4;24;;
Black circle on white;3;6;40;4;27°;;;;;;;25,5;33;37,0;49;;
Black circle on white;4;1;5;2;4°;2015-05-26;Week 21;no;20,2;16;;140,8;33;-152,6;63;;High accuracy in this animal!
Black circle on white;4;2;60;1;37°;;;;;;;-35,9;13;-6,6;40;;
Black circle on white;4;3;40;2;27°;;;;;;;23,9;26;2,7;46;;
Black circle on white;4;4;control;1;control;;;;;;;22,9;89;5,5;115;;
Black circle on white;4;5;20;5;14°;;;;;;;0,3;23;-16,2;47;;
Black circle on white;4;6;10;3;7°;;;;;;;66,5;34;69,3;54;;
Black circle on white;5;1;control;4;control;2015-05-26;Week 21;no;24,5;14;;-77,3;25;-60,5;43;;Animal appeared not to take notice of the stimuli, or move away from the stimulus.
Black circle on white;5;2;20;1;14°;;;;;;;-61,9;11;-52,4;32;;
Black circle on white;5;3;60;4;37°;;;;;;;108,9;13;112,8;38;;
Black circle on white;5;4;5;3;4°;;;;;;;132,4;16;146,9;42;;
Black circle on white;5;5;10;2;7°;;;;;;;-100,0;33;-156,0;73;;
Black circle on white;5;6;40;5;27°;;;;;;;166,3;23;132,1;59;;
Black circle on white;6;1;40;3;27°;2015-05-27;Week 21;no;12,5;19;;-45,4;30;-3,7;80;;
Black circle on white;6;2;20;4;14°;;;;;;;48,0;9;0,3;51;;
Black circle on white;6;3;60;5;37°;;;;;;;134,8;20;176,6;65;;
Black circle on white;6;4;10;2;7°;;;;;;;68,0;12;68,8;50;;
Black circle on white;6;5;control;1;control;;;;;;;79,6;45;13,3;160;;Animal walked in spiral shaped “search path”
Black circle on white;6;6;5;3;4°;;;;;;;-70,4;24;168,3;160;;Animal walked in spiral shaped “search path”
Black circle on white;7;1;60;1;37°;2015-05-27;Week 21;no;31,2;15;;-9,2;20;-9,3;34;;
Black circle on white;7;2;40;5;27°;;;;;;;-90,4;54;-135,1;66;;
Black circle on white;7;3;5;2;4°;;;;;;;125,8;34;111,2;44;;
Black circle on white;7;4;20;4;14°;;;;;;;-157,0;21;-140,0;32;;
Black circle on white;7;5;control;3;control;;;;;;;45,1;46;54,9;56;;
Black circle on white;7;6;10;4;7°;;;;;;;73,9;203;78,7;219;;
Black circle on white;8;1;60;2;37°;2015-05-28;Week 21;no;11,5;16;;13,8;34;5,5;76;;
Black circle on white;8;2;control;5;control;;;;;;;52,2;14;46,3;58;;
Black circle on white;8;3;40;1;27°;;;;;;;7,6;18;0,5;62;;
Black circle on white;8;4;20;3;14°;;;;;;;16,2;35;77,5;82;;
Black circle on white;8;5;10;4;7°;;;;;;;-2,8;31;-46,8;72;;
Black circle on white;8;6;5;1;4°;;;;;;;44,0;21;13,6;69;;
Black circle on white;9;1;40;5;27°;2015-05-28;Week 21;no;20,4;16;;-30,6;32;3,9;59;;Beautiful animal!
Black circle on white;9;2;60;2;37°;;;;;;;-81,9;43;-0,8;79;;
Black circle on white;9;3;10;2;7°;;;;;;;-137,2;13;-103,8;40;;
Black circle on white;9;4;control;3;control;;;;;;;15,7;35;30,5;58;;
Black circle on white;9;5;5;4;4°;;;;;;;-179,8;50;158,0;75;;
Black circle on white;9;6;20;5;14°;;;;;;;179,2;53;-169,8;79;;
Black circle on white;10;1;10;1;7°;2015-05-28;Week 21;no;38,0;16;;-1,6;19;15,0;46;;
Black circle on white;10;2;60;5;37°;;;;;;;-21,1;25;-11,4;47;;
Black circle on white;10;3;5;1;4°;;;;;;;;;;;;Animal non-responsive, terminated experiment
Black circle on white;11;1;10;5;7°;2015-06-10;Week 21;no;12,3;14;;-63,6;30;-151,7;93;;Moved heavy object towards the end of the recording. Startled starfish turned into a half-ball. Nice spiral exit path.
Black circle on white;11;2;20;2;14°;;;;;;;74,5;6;-127,3;68;;Turned into a half-ball again, without provocation. Frame 56.
Black circle on white;11;3;control;3;control;;;;;;;-106,4;15;-20,7;60;;
Black circle on white;12;1;40;1;27°;2015-06-10;Week 21;no;15,6;14;;4,3;33;-3,7;66;;
Black circle on white;12;2;control;2;control;;;;;;;-53,5;10;-83,2;56;;
Black circle on white;12;3;5;4;4°;;;;;;;-21,7;23;-27,2;63;;
Black circle on white;13;1;control;5;control;2015-06-10;Week 23;no;33,0;17;;59,9;122;49,7;143;;
Black circle on white;13;2;20;1;14°;;;;;;;-7,9;123;6,6;140;;
Black circle on white;13;3;10;2;7°;;;;;;;-161,1;6;-155,4;24;;
Black circle on white;14;1;5;5;4°;2015-06-10;Week 21;no;9,7;15;;-11,8;60;36,0;133;;
Black circle on white;14;2;control;3;control;;;;;;;109,7;9;83,7;55;;
Black circle on white;14;3;40;4;27°;;;;;;;-81,3;24;6,6;74;;
Black circle on white;15;1;5;3;4°;2015-06-10;Week 23;no;33,4;15;;-167,6;24;-134,5;55;;Animal had trouble forming a ball.
Black circle on white;15;2;10;5;7°;;;;;;;9,4;26;24,3;47;;
Black circle on white;15;3;control;4;control;;;;;;;-169,2;18;144,7;39;;
Black circle on white;16;1;20;2;14°;2015-06-10;Week 21;no;16,2;16;;126,8;41;-21,7;106;;Animal walked in spirals.
Black circle on white;16;2;control;1;control;;;;;;;169,0;31;116,1;77;;
Black circle on white;16;3;10;4;7°;;;;;;;56,4;30;115,0;71;;
Black circle on white;17;1;control;4;control;2015-06-11;Week 21;no;8,5;15;;18,5;54;-67,9;173;;
Black circle on white;17;2;5;3;4°;;;;;;;43,2;19;26,6;110;;
Black circle on white;17;3;20;1;14°;;;;;;;10,2;7;0,1;77;;
Black circle on white;18;1;10;5;7°;2015-06-11;Week 23;no;29,0;16;;0,0;63;38,0;87;;
Black circle on white;18;2;20;4;14°;;;;;;;-128,0;125;-131,9;146;;
Black circle on white;18;3;5;2;4°;;;;;;;0,0;;0,0;;;Animal did not respond at first. Turned off recording. Animal went straight for target anyway at 11:12.
