date;location;description;sun;rep;distance;scene;row;mean;sd;mode;min;max;slice
10-08-15;A;sun in back;back;1;10;foreground;1;123,2;1,6;123;113;138;1
10-08-15;A;sun in back;back;1;10;background;2;122,0;1,2;122;113;131;1
10-08-15;A;sun in back;back;1;9;foreground;3;125,2;1,4;125;111;137;2
10-08-15;A;sun in back;back;1;9;background;4;130,7;1,6;131;118;137;2
10-08-15;A;sun in back;back;1;8;foreground;5;119,2;2,1;120;112;126;3
10-08-15;A;sun in back;back;1;8;background;6;127,1;1,4;127;122;134;3
10-08-15;A;sun in back;back;1;6;foreground;7;118,5;2,9;118;106;131;4
10-08-15;A;sun in back;back;1;6;background;8;126,4;1,4;126;120;134;4
10-08-15;A;sun in back;back;1;5;foreground;9;112,9;4,5;109;93;140;5
10-08-15;A;sun in back;back;1;5;background;10;128,4;1,8;128;119;138;5
10-08-15;A;sun in back;back;1;4;foreground;11;116,5;8,2;122;87;166;6
10-08-15;A;sun in back;back;1;4;background;12;135,8;1,6;135;128;145;6
10-08-15;A;sun in back;back;1;3;foreground;13;102,2;13,1;109;63;165;7
10-08-15;A;sun in back;back;1;3;background;14;129,4;1,7;130;120;138;7
10-08-15;A;sun in back;back;1;2;foreground;15;85,4;16,8;94;33;163;8
10-08-15;A;sun in back;back;1;2;background;16;120,5;1,4;120;113;126;8
10-08-15;A;sun in back;back;1;1;foreground;17;100,9;19,5;106;45;196;9
10-08-15;A;sun in back;back;1;1;background;18;140,0;1,2;140;133;153;9
10-08-15;A;sun in back;back;2;10;foreground;1;122,3;1,9;121;117;131;1
10-08-15;A;sun in back;back;2;10;background;2;123,7;1,7;124;118;129;1
10-08-15;A;sun in back;back;2;9;foreground;3;126,1;1,4;126;119;133;2
10-08-15;A;sun in back;back;2;9;background;4;133,8;2,0;133;126;141;2
10-08-15;A;sun in back;back;2;8;foreground;5;124,0;1,6;124;116;131;3
10-08-15;A;sun in back;back;2;8;background;6;133,7;1,6;133;129;139;3
10-08-15;A;sun in back;back;2;7;foreground;7;122,9;3,2;121;115;141;4
10-08-15;A;sun in back;back;2;7;background;8;134,6;1,6;134;129;140;4
10-08-15;A;sun in back;back;2;6;foreground;9;121,5;2,4;121;114;132;5
10-08-15;A;sun in back;back;2;6;background;10;133,2;1,4;133;129;138;5
10-08-15;A;sun in back;back;2;5;foreground;11;114,4;1,9;114;106;123;6
10-08-15;A;sun in back;back;2;5;background;12;127,0;1,2;127;120;135;6
10-08-15;A;sun in back;back;2;4;foreground;13;123,1;3,3;123;111;151;7
10-08-15;A;sun in back;back;2;4;background;14;139,2;1,1;139;134;144;7
10-08-15;A;sun in back;back;2;3;foreground;15;115,5;4,8;115;94;157;8
10-08-15;A;sun in back;back;2;3;background;16;135,6;1,4;136;119;144;8
10-08-15;A;sun in back;back;2;2;foreground;17;112,9;8,4;115;84;176;9
10-08-15;A;sun in back;back;2;2;background;18;140,0;1,1;140;133;146;9
10-08-15;A;sun in back;back;2;1;foreground;19;103,0;19,0;104;54;210;10
10-08-15;A;sun in back;back;2;1;background;20;141,1;1,3;141;132;147;10
10-08-15;A;sun in back;back;3;10;foreground;1;121,1;1,4;121;116;126;1
10-08-15;A;sun in back;back;3;10;background;2;122,8;1,5;122;118;129;1
