Unit Serial No : 240-IM0P2868-EU
Integration Time : 50 ms
Time Average: 20
Binning Average: 0
FFT Smoothing: 0%
Project Name : ILT900W-Irradiance 
Sample Name :  ILT900W2868
Measurement No : 1
Measurement Time : 10/19/2015   13:41:17

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
425.0000      	23529.4118    	0.00000       
426.0000      	23474.1784    	0.00000       
427.0000      	23419.2037    	32.12781      
428.0000      	23364.4860    	31.78196      
429.0000      	23310.0233    	35.59156      
430.0000      	23255.8140    	37.70570      
431.0000      	23201.8561    	42.22595      
432.0000      	23148.1481    	43.37251      
433.0000      	23094.6882    	41.58674      
434.0000      	23041.4747    	44.71975      
435.0000      	22988.5057    	48.53698      
436.0000      	22935.7798    	49.25347      
437.0000      	22883.2952    	51.06353      
438.0000      	22831.0502    	52.57516      
439.0000      	22779.0433    	52.95872      
440.0000      	22727.2727    	54.68016      
441.0000      	22675.7370    	55.26841      
442.0000      	22624.4344    	55.62510      
443.0000      	22573.3634    	54.86488      
444.0000      	22522.5225    	54.46770      
445.0000      	22471.9101    	55.12568      
446.0000      	22421.5247    	56.40744      
447.0000      	22371.3647    	56.28247      
448.0000      	22321.4286    	56.37854      
449.0000      	22271.7149    	56.50574      
450.0000      	22222.2222    	57.88345      
451.0000      	22172.9490    	58.02634      
452.0000      	22123.8938    	58.40473      
453.0000      	22075.0552    	58.65475      
454.0000      	22026.4317    	59.97003      
455.0000      	21978.0220    	59.77027      
456.0000      	21929.8246    	60.33099      
457.0000      	21881.8381    	61.82590      
458.0000      	21834.0611    	61.57349      
459.0000      	21786.4924    	62.20040      
460.0000      	21739.1304    	62.41068      
461.0000      	21691.9740    	62.49936      
462.0000      	21645.0216    	64.14265      
463.0000      	21598.2721    	63.77897      
464.0000      	21551.7241    	64.26472      
465.0000      	21505.3763    	63.98670      
466.0000      	21459.2275    	63.39373      
467.0000      	21413.2762    	63.67059      
468.0000      	21367.5214    	63.92199      
469.0000      	21321.9616    	64.20898      
470.0000      	21276.5957    	64.14845      
471.0000      	21231.4225    	64.59216      
472.0000      	21186.4407    	64.40919      
473.0000      	21141.6490    	64.75914      
474.0000      	21097.0464    	63.87598      
475.0000      	21052.6316    	63.99804      
476.0000      	21008.4034    	64.89672      
477.0000      	20964.3606    	65.39081      
478.0000      	20920.5021    	66.60707      
479.0000      	20876.8267    	67.85082      
480.0000      	20833.3333    	67.82798      
481.0000      	20790.0208    	67.31025      
482.0000      	20746.8880    	68.85124      
483.0000      	20703.9337    	68.33753      
484.0000      	20661.1570    	72.14120      
485.0000      	20618.5567    	69.69620      
486.0000      	20576.1317    	70.22404      
487.0000      	20533.8809    	70.13815      
488.0000      	20491.8033    	70.21370      
489.0000      	20449.8978    	69.53082      
490.0000      	20408.1633    	69.22391      
491.0000      	20366.5988    	68.64837      
492.0000      	20325.2033    	68.14933      
493.0000      	20283.9757    	66.95161      
494.0000      	20242.9150    	66.56913      
495.0000      	20202.0202    	66.06360      
496.0000      	20161.2903    	65.53110      
497.0000      	20120.7243    	64.87492      
498.0000      	20080.3213    	63.95463      
499.0000      	20040.0802    	63.50148      
500.0000      	20000.0000    	63.63988      
501.0000      	19960.0798    	62.52555      
502.0000      	19920.3187    	61.70575      
503.0000      	19880.7157    	61.58110      
504.0000      	19841.2698    	61.40074      
505.0000      	19801.9802    	60.78024      
506.0000      	19762.8458    	60.87246      
507.0000      	19723.8659    	60.15829      
508.0000      	19685.0394    	60.44928      
509.0000      	19646.3654    	59.58112      
510.0000      	19607.8431    	59.37790      
511.0000      	19569.4716    	58.78305      
512.0000      	19531.2500    	59.07958      
513.0000      	19493.1774    	57.97501      
514.0000      	19455.2529    	57.28303      
515.0000      	19417.4757    	56.15654      
516.0000      	19379.8450    	55.44490      
517.0000      	19342.3598    	53.64863      
518.0000      	19305.0193    	52.99549      
519.0000      	19267.8227    	51.94699      
520.0000      	19230.7692    	51.28001      
521.0000      	19193.8580    	49.76612      
522.0000      	19157.0881    	48.44265      
523.0000      	19120.4589    	47.13895      
524.0000      	19083.9695    	45.80213      
525.0000      	19047.6190    	44.31233      
526.0000      	19011.4068    	43.41095      
527.0000      	18975.3321    	42.87569      
528.0000      	18939.3939    	41.08683      
529.0000      	18903.5917    	40.37047      
530.0000      	18867.9245    	38.75151      
531.0000      	18832.3917    	37.96400      
532.0000      	18796.9925    	36.90404      
533.0000      	18761.7261    	35.60121      
534.0000      	18726.5918    	34.52278      
535.0000      	18691.5888    	34.17921      
536.0000      	18656.7164    	33.27533      
537.0000      	18621.9739    	32.19070      
