animal;stimulus;type;t;x;y;x.cor;y.cor
0;37°;centre;NA;796,5;570,2;0;0
0;37°;stimulus;NA;696,0;177,0;0;0
0;37°;track;0;796,5;570,2;0;0
0;37°;track;5;794,7;571,1;0;0
0;37°;track;10;793,2;573,9;0;0
0;37°;track;15;793,8;579,0;0;0
0;37°;track;20;795,6;577,8;0;0
0;37°;track;25;791,7;574,4;0;0
0;37°;track;30;795,5;574,0;0;0
0;37°;track;35;793,6;573,4;0;0
0;37°;track;40;794,6;572,3;0;0
0;37°;track;45;792,5;571,6;0;0
0;37°;track;50;795,9;568,4;0;0
0;37°;track;55;794,5;573,8;0;0
0;37°;track;60;792,9;570,0;0;0
0;37°;track;65;795,4;570,2;0;0
0;37°;track;70;795,4;568,6;0;0
0;37°;track;75;795,5;570,1;0;0
0;37°;track;80;793,7;568,4;0;0
0;37°;track;85;795,9;565,9;0;0
0;37°;track;90;796,0;566,0;0;0
0;37°;track;95;795,3;567,7;0;0
0;37°;track;100;794,8;566,8;0;0
0;37°;track;105;793,0;567,6;0;0
0;37°;track;110;794,1;565,7;0;0
0;37°;track;115;794,4;564,1;0;0
0;37°;track;120;794,7;563,6;0;0
0;37°;track;125;793,9;562,5;0;0
0;37°;track;130;793,5;560,7;0;0
0;37°;track;135;793,1;561,5;0;0
0;37°;track;140;792,9;559,2;0;0
0;37°;track;145;792,9;557,1;0;0
0;37°;track;150;792,0;554,8;0;0
0;37°;track;155;790,5;548,4;0;0
0;37°;track;160;791,1;544,2;0;0
0;37°;track;165;790,3;537,5;0;0
0;37°;track;170;789,3;530,3;0;0
0;37°;track;175;788,1;523,4;0;0
0;37°;track;180;787,8;516,1;0;0
0;37°;track;185;787,8;504,5;0;0
0;37°;track;190;786,1;495,2;0;0
0;37°;track;195;782,8;484,5;0;0
0;37°;track;200;780,1;473,1;0;0
0;37°;track;205;774,1;460,8;0;0
0;37°;track;210;772,8;446,3;0;0
0;37°;track;215;770,6;434,4;0;0
0;37°;track;220;763,8;421,2;0;0
0;37°;track;225;762,0;410,0;0;0
0;37°;track;230;757,8;394,0;0;0
0;37°;track;235;752,9;380,6;0;0
0;37°;track;240;748,5;364,8;0;0
0;37°;track;245;743,9;352,4;0;0
0;37°;track;250;737,9;338,6;0;0
0;37°;track;255;732,5;324,6;0;0
0;37°;track;260;726,6;310,9;0;0
0;37°;track;265;719,9;298,7;0;0
0;37°;track;270;715,1;286,1;0;0
0;37°;track;275;709,5;272,8;0;0
1;37°;centre;NA;792,7;551,9;0;0
1;37°;stimulus;NA;1106,0;360,0;0;0
1;37°;track;0;792,7;551,9;0;0
1;37°;track;5;765,5;570,8;0;0
1;37°;track;10;783,5;552,8;0;0
1;37°;track;15;788,2;547,7;0;0
1;37°;track;20;791,6;548,9;0;0
1;37°;track;25;797,0;551,9;0;0
1;37°;track;30;802,0;554,4;0;0
1;37°;track;35;812,1;549,7;0;0
1;37°;track;40;808,5;554,5;0;0
1;37°;track;45;818,2;553,0;0;0
1;37°;track;50;818,1;552,1;0;0
1;37°;track;55;833,1;548,2;0;0
1;37°;track;60;840,2;545,6;0;0
1;37°;track;65;845,3;550,1;0;0
1;37°;track;70;815,2;558,9;0;0
1;37°;track;75;836,8;568,2;0;0
1;37°;track;80;809,1;581,7;0;0
1;37°;track;85;821,7;581,5;0;0
1;37°;track;90;832,1;580,2;0;0
1;37°;track;95;843,9;581,6;0;0
1;37°;track;100;859,4;576,8;0;0
1;37°;track;105;873,5;579,5;0;0
1;37°;track;110;891,1;575,9;0;0
1;37°;track;115;906,8;572,6;0;0
1;37°;track;120;920,2;567,6;0;0
1;37°;track;125;934,3;562,3;0;0
1;37°;track;130;947,5;553,6;0;0
1;37°;track;135;961,3;546,6;0;0
1;37°;track;140;971,9;536,1;0;0
1;37°;track;145;985,8;525,0;0;0
1;37°;track;150;996,8;512,6;0;0
1;37°;track;155;1007,9;500,0;0;0
1;37°;track;160;1017,5;487,0;0;0
1;37°;track;165;1027,2;474,7;0;0
1;37°;track;170;1036,0;461,3;0;0
1;37°;track;175;1042,9;448,9;0;0
1;37°;track;180;1049,9;434,2;0;0
1;37°;track;185;1056,8;423,0;0;0
1;37°;track;190;1065,1;412,0;0;0
